,,thin,thick,nn2,genhalf,ex64,ev2li
j-10-10-r-5-10,73,0.04241986572742462,0.17045891284942627,0.09747812151908875,0.2955179810523987,0.7312499284744263,0.03203127533197403
j-10-10-r-5-10,74,0.1112072765827179,0.043100036680698395,0.2682403326034546,0.34325534105300903,0.6976550817489624,0.19357861578464508
j-10-10-r-5-10,75,0.01967732608318329,0.14337508380413055,0.11202312260866165,0.32289838790893555,0.7633312940597534,0.04825378209352493
j-10-10-r-5-10,76,0.1257764846086502,0.11867775768041611,0.23239782452583313,0.44062018394470215,0.8957509994506836,0.11387790739536285
j-10-10-r-5-10,77,0.07104482501745224,0.11579976230859756,0.5940073728561401,0.39354655146598816,0.701564610004425,0.29629141092300415
j-10-10-r-5-10,78,0.15014159679412842,0.14446067810058594,0.31286439299583435,0.3500191867351532,0.7854721546173096,0.09595596045255661
j-10-10-r-5-10,79,0.09797844290733337,0.056488290429115295,0.2863001227378845,0.35186439752578735,0.7861008048057556,0.16333721578121185
j-10-10-r-5-10,80,0.10867422074079514,0.19401569664478302,0.03123822808265686,0.3642035722732544,0.7050549983978271,0.021915607154369354
j-10-10-r-5-10,81,0.026180323213338852,0.4702099561691284,0.20191580057144165,0.3931802213191986,0.7636818885803223,0.12325135618448257
j-10-10-r-5-10,82,0.07066121697425842,0.2889970541000366,0.2683165669441223,0.3624805212020874,0.6966884732246399,0.07896152138710022
j-10-10-r-5-10,83,0.05916839838027954,0.0811983048915863,0.22748008370399475,0.2639930546283722,0.8743232488632202,0.08820552378892899
j-10-10-r-5-10,84,0.14055314660072327,0.20532946288585663,0.3427136242389679,0.3294000029563904,0.7302759885787964,0.1527998447418213
j-10-10-r-5-10,85,0.13574376702308655,0.08452165871858597,0.2323002964258194,0.35119953751564026,0.6609289646148682,0.14470097422599792
j-10-10-r-5-10,86,0.09179341048002243,0.17572568356990814,0.249996617436409,0.3471794128417969,0.6243577003479004,0.16248297691345215
j-10-10-r-5-10,87,0.07776643335819244,0.25264236330986023,0.27075350284576416,0.4475703537464142,0.8357006311416626,0.18945851922035217
j-10-10-r-5-10,88,0.0057905432768166065,0.20532137155532837,0.03424236923456192,0.3677332103252411,0.720766007900238,0.015627432614564896
j-10-10-r-5-10,89,0.10217905789613724,0.16373521089553833,0.14741668105125427,0.39504751563072205,0.7199150919914246,0.048442911356687546
j-10-10-r-5-10,90,0.0182296521961689,0.051848046481609344,0.22763259708881378,0.37748023867607117,0.7369027137756348,0.020933791995048523
j-10-10-r-5-10,91,0.16772404313087463,0.16702567040920258,0.1304764598608017,0.37618255615234375,0.7406425476074219,0.0710967630147934
j-10-10-r-5-10,92,0.11238539218902588,0.2637789249420166,0.3952939808368683,0.4167501926422119,0.7466078400611877,0.2892448902130127
j-10-10-r-5-10,93,0.059935081750154495,0.2023298740386963,0.06172339618206024,0.37332630157470703,0.6595115065574646,0.03301340341567993
j-10-10-r-5-10,94,0.027337385341525078,0.01634177565574646,0.0801740512251854,0.34484416246414185,0.6834582090377808,0.031194042414426804
j-10-10-r-5-10,95,0.03663875535130501,0.07643303275108337,0.0651639923453331,0.3090520203113556,0.6680799126625061,0.03176993876695633
j-10-10-r-5-10,96,0.007924193516373634,0.22469273209571838,0.1746995449066162,0.38619887828826904,0.7803696990013123,0.104353167116642
j-10-10-r-5-10,97,0.07876133918762207,0.20038872957229614,0.43859875202178955,0.3780978322029114,0.81472247838974,0.23096264898777008
j-10-10-r-5-10,98,0.11905544251203537,0.36691612005233765,0.3484145998954773,0.3948391377925873,0.693062424659729,0.16877540946006775
j-10-10-r-5-10,99,0.11601018160581589,0.0319366492331028,0.24749347567558289,0.3145899176597595,0.7021472454071045,0.1973615437746048
j-10-10-r-10-5,0,0.08124198764562607,0.03505203127861023,0.345380038022995,0.339284747838974,0.7152098417282104,0.12177785485982895
j-10-10-r-10-5,1,0.140904039144516,0.12235745787620544,0.29093989729881287,0.3155256509780884,0.8121820092201233,0.10690135508775711
j-10-10-r-10-5,2,0.011360975913703442,0.1171780601143837,0.09138008952140808,0.3888452351093292,0.7048377990722656,0.06369998306035995
j-10-10-r-10-5,3,0.02298489399254322,0.1692270040512085,0.5698464512825012,0.4195651412010193,0.8019199371337891,0.37182727456092834
j-10-10-r-10-5,4,0.01212272047996521,0.24709978699684143,0.039939071983098984,0.3745025396347046,0.7343782186508179,0.009457181207835674
j-10-10-r-10-5,5,0.12242027372121811,0.15961477160453796,0.3410736620426178,0.39867615699768066,0.7886173725128174,0.20243512094020844
j-10-10-r-10-5,6,0.06553643196821213,0.001915504690259695,0.0945383757352829,0.32345500588417053,0.7700496912002563,0.04389183223247528
j-10-10-r-10-5,7,0.04334019497036934,0.11418931186199188,0.29935765266418457,0.33945971727371216,0.6855501532554626,0.14949485659599304
j-10-10-r-10-5,8,0.028304405510425568,0.002664047759026289,0.1341269314289093,0.35725682973861694,0.7380502820014954,0.03944680839776993
j-10-10-r-10-5,9,0.01739155501127243,0.2928870916366577,0.019052866846323013,0.4440680146217346,0.7212657928466797,0.011090565472841263
j-10-10-r-10-5,10,0.14580181241035461,0.19764076173305511,0.41255754232406616,0.4151665270328522,0.7013963460922241,0.216862291097641
j-10-10-r-10-5,11,0.21326321363449097,0.24152490496635437,0.493516206741333,0.4842354655265808,0.8264189958572388,0.17921675741672516
j-10-10-r-10-5,12,0.10051488876342773,0.1635129749774933,0.32966554164886475,0.4570898711681366,0.9253773093223572,0.19740384817123413
j-10-10-r-10-5,13,0.1368195116519928,0.2770678699016571,0.4735858738422394,0.3915855288505554,0.7142118811607361,0.2144070863723755
